Date,Province,ProductKey,Indice_IPC_produit,ProductLabel,Unit
2017-01,Alberta,eggs,3.45,"Eggs, 1 dozen",Dollars
2017-02,Alberta,eggs,3.57,"Eggs, 1 dozen",Dollars
2017-03,Alberta,eggs,3.55,"Eggs, 1 dozen",Dollars
2017-04,Alberta,eggs,3.48,"Eggs, 1 dozen",Dollars
2017-05,Alberta,eggs,3.58,"Eggs, 1 dozen",Dollars
2017-06,Alberta,eggs,3.59,"Eggs, 1 dozen",Dollars
2017-07,Alberta,eggs,3.58,"Eggs, 1 dozen",Dollars
2017-08,Alberta,eggs,3.58,"Eggs, 1 dozen",Dollars
2017-09,Alberta,eggs,3.62,"Eggs, 1 dozen",Dollars
2017-10,Alberta,eggs,3.58,"Eggs, 1 dozen",Dollars
2017-11,Alberta,eggs,3.52,"Eggs, 1 dozen",Dollars
2017-12,Alberta,eggs,3.26,"Eggs, 1 dozen",Dollars
2018-01,Alberta,eggs,3.46,"Eggs, 1 dozen",Dollars
2018-02,Alberta,eggs,3.53,"Eggs, 1 dozen",Dollars
2018-03,Alberta,eggs,3.47,"Eggs, 1 dozen",Dollars
2018-04,Alberta,eggs,3.51,"Eggs, 1 dozen",Dollars
2018-05,Alberta,eggs,3.23,"Eggs, 1 dozen",Dollars
2018-06,Alberta,eggs,3.62,"Eggs, 1 dozen",Dollars
2018-07,Alberta,eggs,3.33,"Eggs, 1 dozen",Dollars
2018-08,Alberta,eggs,3.62,"Eggs, 1 dozen",Dollars
2018-09,Alberta,eggs,3.6,"Eggs, 1 dozen",Dollars
2018-10,Alberta,eggs,3.56,"Eggs, 1 dozen",Dollars
2018-11,Alberta,eggs,3.58,"Eggs, 1 dozen",Dollars
2018-12,Alberta,eggs,3.58,"Eggs, 1 dozen",Dollars
2019-01,Alberta,eggs,3.53,"Eggs, 1 dozen",Dollars
2019-02,Alberta,eggs,3.6,"Eggs, 1 dozen",Dollars
2019-03,Alberta,eggs,3.46,"Eggs, 1 dozen",Dollars
2019-04,Alberta,eggs,3.59,"Eggs, 1 dozen",Dollars
2019-05,Alberta,eggs,3.45,"Eggs, 1 dozen",Dollars
2019-06,Alberta,eggs,3.57,"Eggs, 1 dozen",Dollars
2019-07,Alberta,eggs,3.55,"Eggs, 1 dozen",Dollars
2019-08,Alberta,eggs,3.52,"Eggs, 1 dozen",Dollars
2019-09,Alberta,eggs,3.62,"Eggs, 1 dozen",Dollars
2019-10,Alberta,eggs,3.69,"Eggs, 1 dozen",Dollars
2019-11,Alberta,eggs,3.7,"Eggs, 1 dozen",Dollars
2019-12,Alberta,eggs,3.69,"Eggs, 1 dozen",Dollars
2020-01,Alberta,eggs,3.75,"Eggs, 1 dozen",Dollars
2020-02,Alberta,eggs,3.78,"Eggs, 1 dozen",Dollars
2020-03,Alberta,eggs,3.78,"Eggs, 1 dozen",Dollars
2020-04,Alberta,eggs,3.74,"Eggs, 1 dozen",Dollars
2020-05,Alberta,eggs,3.74,"Eggs, 1 dozen",Dollars
2020-06,Alberta,eggs,3.77,"Eggs, 1 dozen",Dollars
2020-07,Alberta,eggs,3.83,"Eggs, 1 dozen",Dollars
2020-08,Alberta,eggs,3.89,"Eggs, 1 dozen",Dollars
2020-09,Alberta,eggs,3.94,"Eggs, 1 dozen",Dollars
2020-10,Alberta,eggs,3.91,"Eggs, 1 dozen",Dollars
2020-11,Alberta,eggs,3.88,"Eggs, 1 dozen",Dollars
2020-12,Alberta,eggs,3.92,"Eggs, 1 dozen",Dollars
2021-01,Alberta,eggs,3.94,"Eggs, 1 dozen",Dollars
2021-02,Alberta,eggs,3.99,"Eggs, 1 dozen",Dollars
2021-03,Alberta,eggs,4.09,"Eggs, 1 dozen",Dollars
2021-04,Alberta,eggs,4.09,"Eggs, 1 dozen",Dollars
2021-05,Alberta,eggs,4.04,"Eggs, 1 dozen",Dollars
2021-06,Alberta,eggs,4.04,"Eggs, 1 dozen",Dollars
2021-07,Alberta,eggs,3.6,"Eggs, 1 dozen",Dollars
2021-08,Alberta,eggs,4.16,"Eggs, 1 dozen",Dollars
2021-09,Alberta,eggs,3.95,"Eggs, 1 dozen",Dollars
2021-10,Alberta,eggs,4.16,"Eggs, 1 dozen",Dollars
2021-11,Alberta,eggs,4.15,"Eggs, 1 dozen",Dollars
2021-12,Alberta,eggs,4.02,"Eggs, 1 dozen",Dollars
2022-01,Alberta,eggs,4.18,"Eggs, 1 dozen",Dollars
2022-02,Alberta,eggs,3.96,"Eggs, 1 dozen",Dollars
2022-03,Alberta,eggs,4.1,"Eggs, 1 dozen",Dollars
2022-04,Alberta,eggs,4.27,"Eggs, 1 dozen",Dollars
2022-05,Alberta,eggs,4.42,"Eggs, 1 dozen",Dollars
2022-06,Alberta,eggs,4.38,"Eggs, 1 dozen",Dollars
2022-07,Alberta,eggs,4.28,"Eggs, 1 dozen",Dollars
2022-08,Alberta,eggs,4.28,"Eggs, 1 dozen",Dollars
2022-09,Alberta,eggs,4.65,"Eggs, 1 dozen",Dollars
2022-10,Alberta,eggs,4.67,"Eggs, 1 dozen",Dollars
2022-11,Alberta,eggs,4.79,"Eggs, 1 dozen",Dollars
2022-12,Alberta,eggs,4.82,"Eggs, 1 dozen",Dollars
2023-01,Alberta,eggs,4.81,"Eggs, 1 dozen",Dollars
2023-02,Alberta,eggs,4.67,"Eggs, 1 dozen",Dollars
2023-03,Alberta,eggs,4.74,"Eggs, 1 dozen",Dollars
2023-04,Alberta,eggs,4.76,"Eggs, 1 dozen",Dollars
2023-05,Alberta,eggs,4.81,"Eggs, 1 dozen",Dollars
2023-06,Alberta,eggs,4.79,"Eggs, 1 dozen",Dollars
2023-07,Alberta,eggs,4.87,"Eggs, 1 dozen",Dollars
2023-08,Alberta,eggs,4.9,"Eggs, 1 dozen",Dollars
2023-09,Alberta,eggs,4.94,"Eggs, 1 dozen",Dollars
2023-10,Alberta,eggs,4.94,"Eggs, 1 dozen",Dollars
2023-11,Alberta,eggs,4.96,"Eggs, 1 dozen",Dollars
2023-12,Alberta,eggs,4.99,"Eggs, 1 dozen",Dollars
2024-01,Alberta,eggs,4.89,"Eggs, 1 dozen",Dollars
2024-02,Alberta,eggs,4.92,"Eggs, 1 dozen",Dollars
2024-03,Alberta,eggs,4.47,"Eggs, 1 dozen",Dollars
2024-04,Alberta,eggs,4.93,"Eggs, 1 dozen",Dollars
2024-05,Alberta,eggs,4.96,"Eggs, 1 dozen",Dollars
2024-06,Alberta,eggs,4.97,"Eggs, 1 dozen",Dollars
2024-07,Alberta,eggs,4.95,"Eggs, 1 dozen",Dollars
2024-08,Alberta,eggs,4.96,"Eggs, 1 dozen",Dollars
2024-09,Alberta,eggs,4.99,"Eggs, 1 dozen",Dollars
2024-10,Alberta,eggs,5.04,"Eggs, 1 dozen",Dollars
2024-11,Alberta,eggs,5.08,"Eggs, 1 dozen",Dollars
2024-12,Alberta,eggs,5.05,"Eggs, 1 dozen",Dollars
2025-01,Alberta,eggs,5.11,"Eggs, 1 dozen",Dollars
2025-02,Alberta,eggs,5.1,"Eggs, 1 dozen",Dollars
2025-03,Alberta,eggs,5.1,"Eggs, 1 dozen",Dollars
2025-04,Alberta,eggs,5.08,"Eggs, 1 dozen",Dollars
2025-05,Alberta,eggs,5.12,"Eggs, 1 dozen",Dollars
2025-06,Alberta,eggs,5.12,"Eggs, 1 dozen",Dollars
2025-07,Alberta,eggs,5.1,"Eggs, 1 dozen",Dollars
2017-01,Alberta,meat,12.77,"Beef stewing cuts, per kilogram",Dollars
2017-01,Alberta,meat,22.92,"Beef striploin cuts, per kilogram",Dollars
2017-01,Alberta,meat,13.79,"Beef top sirloin cuts, per kilogram",Dollars
2017-01,Alberta,meat,18.34,"Beef rib cuts, per kilogram",Dollars
2017-01,Alberta,meat,9.08,"Ground beef, per kilogram",Dollars
2017-01,Alberta,meat,8.22,"Pork loin cuts, per kilogram",Dollars
2017-01,Alberta,meat,9.32,"Pork rib cuts, per kilogram",Dollars
2017-01,Alberta,meat,7.62,"Pork shoulder cuts, per kilogram",Dollars
2017-01,Alberta,meat,4.07,"Meatless burgers, 226 grams",Dollars
2017-02,Alberta,meat,12.58,"Beef stewing cuts, per kilogram",Dollars
2017-02,Alberta,meat,24.06,"Beef striploin cuts, per kilogram",Dollars
2017-02,Alberta,meat,14.51,"Beef top sirloin cuts, per kilogram",Dollars
2017-02,Alberta,meat,18.87,"Beef rib cuts, per kilogram",Dollars
2017-02,Alberta,meat,9.5,"Ground beef, per kilogram",Dollars
2017-02,Alberta,meat,9.88,"Pork loin cuts, per kilogram",Dollars
2017-02,Alberta,meat,7.27,"Pork rib cuts, per kilogram",Dollars
2017-02,Alberta,meat,6.42,"Pork shoulder cuts, per kilogram",Dollars
2017-02,Alberta,meat,4.02,"Meatless burgers, 226 grams",Dollars
2017-03,Alberta,meat,13.49,"Beef stewing cuts, per kilogram",Dollars
2017-03,Alberta,meat,25.12,"Beef striploin cuts, per kilogram",Dollars
2017-03,Alberta,meat,13.14,"Beef top sirloin cuts, per kilogram",Dollars
2017-03,Alberta,meat,22.0,"Beef rib cuts, per kilogram",Dollars
2017-03,Alberta,meat,9.37,"Ground beef, per kilogram",Dollars
2017-03,Alberta,meat,8.19,"Pork loin cuts, per kilogram",Dollars
2017-03,Alberta,meat,10.47,"Pork rib cuts, per kilogram",Dollars
2017-03,Alberta,meat,6.63,"Pork shoulder cuts, per kilogram",Dollars
2017-03,Alberta,meat,3.94,"Meatless burgers, 226 grams",Dollars
2017-04,Alberta,meat,14.04,"Beef stewing cuts, per kilogram",Dollars
2017-04,Alberta,meat,22.69,"Beef striploin cuts, per kilogram",Dollars
2017-04,Alberta,meat,14.77,"Beef top sirloin cuts, per kilogram",Dollars
2017-04,Alberta,meat,17.11,"Beef rib cuts, per kilogram",Dollars
2017-04,Alberta,meat,9.02,"Ground beef, per kilogram",Dollars
